input_file,k,nmf_score,kmeans_score
input_1.txt,2,0.8856,0.8856
input_1.txt,3,0.5957,0.5957
input_1.txt,4,0.4944,0.5154
input_1.txt,5,0.2866,0.4556
input_1.txt,6,0.2859,0.4619
input_1.txt,7,0.2192,0.4611
input_1.txt,8,0.4522,0.4571
input_1.txt,9,0.2316,0.4583
input_1.txt,10,0.2215,0.4596
input_2.txt,2,0.1938,0.3481
input_2.txt,3,0.2714,0.4789
input_2.txt,4,0.3416,0.4875
input_2.txt,5,0.4775,0.5725
input_2.txt,6,0.6272,0.682
input_2.txt,7,0.5469,0.7491
input_2.txt,8,0.6637,0.6475
input_2.txt,9,0.5449,0.5625
input_2.txt,10,0.2127,0.482
input_3.txt,2,0.0878,0.3128
input_3.txt,3,0.0715,0.3395
input_3.txt,4,0.1439,0.4091
